Position_X,Position_Y,Position_Z,Time
-1134.2845,-208.1215,519.351,673888.1663
-1037.4074,-191.0733,563.0066,673903.1373
-1019.3518,-188.1288,562.8194,673907.0769
-1031.8898,-189.441,534.2628,673907.9382
-1010.1787,-185.4259,539.8868,673911.2694
-989.5766,-181.5629,543.6672,673915.1456
-969.7847,-178.2544,544.4385,673919.1105
-951.4094,-174.8274,545.3378,673923.3216
-930.7029,-171.1541,545.3406,673927.0314
-910.3006,-167.287,549.3123,673931.039
-889.8751,-163.6689,551.7739,673934.9814
-873.1644,-160.8977,549.2023,673938.8874
-853.0586,-157.2437,551.2232,673942.939
-832.8067,-153.2899,555.467,673946.7261
-813.8067,-150.2706,553.9726,673950.6698
-795.9143,-147.1717,550.4814,673954.6604
-775.0289,-143.5429,554.7322,673958.6079
-755.406,-140.0838,555.3579,673962.5492
-736.0978,-136.5607,557.4041,673966.505
-717.2529,-133.369,556.0278,673970.4085
-698.5652,-130.1497,555.8622,673974.3898
-679.917,-127.2759,552.9121,673978.3646
-660.3646,-124.0576,553.8513,673982.262
-642.1355,-121.0115,551.7143,673986.2036
-621.6957,-117.2863,553.2977,673990.257
-603.2434,-114.263,549.1668,673994.1005
-585.1469,-111.2883,548.2444,673998.1107
-565.4798,-107.8643,548.2974,674002.1004
-547.9897,-105.0924,545.0166,674006.0514
-528.9881,-102.0539,544.0822,674010.0575
-511.1221,-99.0219,539.4164,674014.1966
-493.1873,-95.9059,537.8523,674018.0974
-474.1823,-92.8893,536.704,674021.9434
-457.7102,-90.3945,529.4791,674025.8442
-437.2611,-86.7798,530.5171,674029.7226
-420.0346,-84.2393,526.0992,674033.727
-400.7798,-80.7563,528.2337,674037.8377
-382.1563,-78.1484,525.728,674041.6602
-365.0533,-75.517,519.2789,674045.6293
-347.1371,-72.4243,511.8142,674049.4544
-327.5943,-69.5303,508.7819,674053.4236
-311.3788,-66.7857,504.662,674057.4097
-293.2557,-63.8543,503.9489,674061.2898
-274.5953,-61.1797,500.3908,674065.2342
-258.6246,-58.6128,495.4411,674069.3097
-239.1531,-55.4424,492.0462,674073.1934
-221.7262,-52.8249,485.1443,674077.0814
-204.838,-50.2377,480.4588,674081.096
-186.5,-47.1227,481.1191,674084.965
-170.1291,-44.6133,475.0206,674089.0676
-151.681,-41.7725,466.9913,674092.9338
-135.7011,-39.5894,455.2187,674096.8094
-117.4528,-37.0676,449.2548,674100.8777
-100.2493,-34.4979,448.1014,674104.7556
-82.498,-32.1333,430.8608,674108.6686
-66.1855,-28.5288,440.7155,674112.6538
-49.2484,-26.3206,424.8301,674116.5696
-32.6871,-23.4771,427.154,674120.5
-12.1317,-20.8022,422.6805,674124.5376
2.0488,-18.4859,412.4293,674128.4128
30.9797,-11.4364,424.5626,674136.4315
48.7342,-9.3772,409.1979,674141.1356
67.2682,-7.5237,391.859,674144.3938
84.8531,-5.7172,376.774,674148.2714
102.8617,-3.1448,366.2647,674152.1262
120.4249,-0.9656,354.0676,674156.1894
134.5737,1.3997,356.963,674160.3815
150.7285,4.1506,355.184,674163.9269
166.3826,5.9991,343.3574,674167.9688
179.805,7.7784,358.2242,674171.9073
200.6384,11.2489,318.2922,674175.9076
217.2865,13.8058,307.8182,674179.8282
233.0958,16.1064,302.476,674184.2925
253.9428,19.7835,272.2441,674187.609
267.7844,21.4921,270.386,674191.8034
285.7041,24.3138,260.7818,674195.5265
298.7941,25.9387,259.7011,674199.458
313.984,28.0138,259.4789,674203.5387
327.4278,30.1213,250.4407,674207.4302
343.5466,32.4732,240.1809,674211.359
358.9829,34.9114,227.0233,674215.3548
374.6112,37.3295,219.7947,674219.1456
