Position_X,Position_Y,Position_Z,Time
-1114.3504,-278.2269,522.2057,743375.6158
-1100.0032,-282.961,479.7227,743380.6968
-1046.1916,-285.4281,492.9558,743385.5963
-1021.2117,-286.5662,490.516,743391.7274
-995.9074,-287.2019,489.7243,743395.7098
-968.6557,-287.204,492.8123,743399.7312
-942.0071,-287.4706,495.3193,743403.3477
-916.5237,-287.7261,493.8132,743407.4158
-888.9209,-287.2024,499.1809,743411.396
-864.0073,-287.7516,497.1382,743415.2506
-836.8345,-287.3151,501.2431,743419.2662
-809.6825,-286.848,505.6818,743423.442
-785.7901,-288.2559,498.5973,743427.0339
-759.0076,-287.6495,503.6804,743431.133
-733.1961,-287.75,504.7009,743434.9336
-707.487,-287.6696,505.6287,743438.9848
-682.8322,-288.8987,500.0448,743443.3062
-483.9401,-291.494,492.7433,743476.1715
-435.7016,-292.6595,487.1105,743480.523
-410.7292,-293.091,485.3299,743486.3229
-386.374,-293.4435,484.0209,743490.4927
-361.2582,-293.1519,483.4673,743494.139
-337.4473,-294.4143,478.9258,743498.1298
-313.5901,-295.0082,475.2192,743502.0806
-289.7838,-295.2682,474.6773,743506.0076
-266.0917,-295.8201,471.5332,743510.0292
-241.7534,-296.6992,465.1797,743513.9026
-218.2037,-289.5584,479.5321,743517.8634
-194.5687,-292.2855,467.9596,743522.0372
-171.4253,-294.7045,466.7922,743525.7825
-147.3257,-297.8146,451.7235,743529.625
-123.8922,-298.3776,450.256,743533.6352
-100.8459,-298.7482,447.6934,743537.5788
-77.5917,-299.9767,443.1587,743541.5493
-54.475,-301.0425,436.9911,743545.4386
-30.9128,-300.8633,436.0544,743549.3601
-7.4924,-302.4238,428.8327,743553.2935
14.7782,-302.0815,428.1123,743557.3376
36.8737,-302.8977,422.6581,743561.1906
59.9079,-303.8311,416.1657,743565.2783
83.0209,-304.7194,410.1873,743569.2901
107.9792,-306.8235,392.0322,743574.9896
129.0473,-307.0235,392.9081,743577.349
151.1422,-307.8699,387.3302,743581.0062
173.18,-308.4809,382.8055,743584.9656
186.167,-298.0329,429.1464,743589.1157
217.1366,-305.6027,376.1989,743592.9832
234.0073,-305.0835,391.604,743596.9791
258.0055,-308.9472,375.573,743600.8888
284.5105,-311.8025,352.6891,743604.7367
304.8323,-312.1081,347.3664,743608.6408
327.0751,-313.0468,338.5757,743612.5401
347.711,-313.7342,335.5969,743616.451
369.6929,-314.372,327.9401,743620.4317
391.6729,-315.6699,317.5061,743624.4515
413.2991,-316.2212,310.661,743628.3034
436.4269,-317.8829,297.0338,743632.3789
456.5951,-318.4055,292.032,743636.2169
477.7708,-318.8336,286.0657,743640.1212
500.2015,-320.8508,271.941,743644.2093
520.0699,-321.182,266.8648,743648.1839
541.9352,-321.8173,257.5154,743651.9666
561.528,-322.4446,252.1825,743655.93
583.7273,-324.3289,237.1316,743660.0064
604.8866,-325.4804,227.8244,743663.8152
625.1722,-325.8469,221.154,743667.7732
646.9608,-327.2901,209.6611,743671.9274
668.2933,-328.6852,198.6155,743675.679
686.9273,-329.2671,192.2467,743679.6508
706.3261,-329.2256,186.2553,743683.6048
729.9499,-331.4061,169.5823,743687.5232
751.8995,-333.6386,154.567,743691.4904
772.9998,-334.6617,143.2133,743695.3866
795.1308,-336.7106,127.6509,743699.389
811.278,-335.9677,128.4548,743703.3378
832.7076,-337.3717,114.0396,743707.2332
850.7458,-337.0213,108.7263,743711.2166
872.2607,-339.0659,94.69,743715.1636
895.5891,-341.3296,76.9091,743719.0864
913.6723,-341.8509,68.4699,743723.0668
936.6225,-343.6504,53.4106,743727.0222
1013.9401,-347.462,6.4873,743743.5322
1032.7764,-349.3596,1.1843,743747.7008
1046.3905,-349.9698,15.6082,743750.8022
1059.9623,-350.7517,28.0179,743754.6548
1078.8562,-352.8873,30.49,743758.6526
1098.2043,-355.4069,30.7774,743762.5616
