Position_X,Position_Y,Position_Z,Time
-1129.3439,-103.5113,385.0817,703555.4432
-1061.1307,-99.287,381.1036,703564.2903
-993.9024,-90.2371,378.7955,703571.268
-958.5189,-85.358,387.0452,703575.7356
-927.8019,-84.2102,377.1437,703579.2806
-891.2379,-79.7387,384.4432,703583.1124
-857.5599,-78.1127,384.0436,703587.0603
-823.1171,-74.9165,387.7347,703591.181
-794.3337,-73.7237,370.826,703594.9306
-754.6627,-70.9231,396.997,703599.0026
-724.679,-70.5134,386.7278,703602.892
-693.8608,-64.3684,378.6157,703606.9102
-662.543,-61.8328,372.26,703610.8192
-629.5607,-59.4006,374.3796,703614.7378
-598.055,-56.9393,370.0843,703618.7724
-566.4024,-54.9026,368.1596,703622.961
-500.6202,-51.9722,375.9542,703630.6246
-470.2031,-50.7647,366.3585,703635.2084
-439.5741,-50.3999,362.5667,703638.4861
-409.6342,-45.0025,351.1483,703642.4444
-379.5838,-42.6741,337.2158,703646.505
-347.8079,-41.4326,343.0727,703650.3434
-316.5123,-39.7382,343.1615,703654.5058
-285.4813,-38.2365,338.5558,703658.4328
-255.362,-36.83,325.4733,703662.2283
-225.35,-36.5734,327.0099,703666.0191
-195.3339,-35.115,336.9925,703670.106
-166.0774,-34.7262,310.7393,703673.9668
-136.1087,-30.9362,309.386,703677.9808
-106.4256,-29.9673,307.021,703681.8558
-77.0491,-28.6692,297.6962,703685.7344
-47.6407,-27.1225,297.8739,703689.8241
-17.5711,-25.8267,291.1689,703693.7319
11.4607,-25.2708,280.1812,703697.5862
40.9194,-25.1336,269.7491,703701.6158
69.0781,-24.8626,272.191,703705.5348
99.9268,-24.3558,246.3712,703709.5674
129.8495,-23.9008,222.3816,703713.3982
158.2519,-22.1636,226.9629,703717.2658
187.4532,-22.0027,211.9064,703721.2712
217.1095,-21.2215,200.8298,703725.4602
331.2342,-20.1004,171.7297,703741.959
348.1419,-16.0482,203.2437,703746.6427
375.5101,-15.4525,191.522,703748.9269
402.0643,-15.1419,186.8803,703752.7738
432.5719,-14.2327,167.8841,703756.9698
458.5956,-13.8094,161.852,703760.79
485.9281,-13.5625,153.851,703764.6388
512.7939,-14.84,143.0161,703768.644
588.1944,-13.7831,127.9434,703780.9894
612.5634,-13.541,123.5842,703785.1131
643.6406,-13.3404,99.4508,703788.3902
682.9187,-16.806,51.2642,703792.3667
714.0443,-17.1209,27.9496,703796.1622
738.0994,-17.4716,29.1124,703800.176
761.9102,-16.668,22.2172,703804.116
783.431,-16.9926,23.5766,703808.0292
803.0511,-16.4778,25.4785,703811.9716
831.4192,-16.231,10.2468,703816.1238
851.4983,-15.6841,11.354,703819.8668
880.81,-16.3204,-3.0758,703823.8254
896.3581,-16.367,14.5221,703827.8799
958.2053,-17.9249,34.5702,703840.1656
968.2029,-16.9987,65.0181,703844.3416
986.1517,-17.4927,77.1529,703847.5252
1005.8459,-17.6612,86.6457,703851.5224
